PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
39962;;;;;6;0;0;0;0;4;2;0;0;0;PLATAFORMA NAPA MK5087 JS MULLER        ;CALCADOS                 ;PLATAFORMA               ;CASCA                                   
39962;;;;;6;0;0;1;1;3;0;0;1;0;PLATAFORMA NAPA MK5087 JS MULLER        ;CALCADOS                 ;PLATAFORMA               ;COTTON                                  
39963;;;;;6;1;0;1;0;2;2;0;0;0;PLATAFORMA METALIZADO MK5087 JS MULLER  ;CALCADOS                 ;PLATAFORMA               ;CHAMPAGNE                               
39965;;;;;2;0;0;0;0;2;0;0;0;0;SANDALIA BAIXA NOBUCK 22022303 VIA FASHI;CALCADOS                 ;SANDALIA BAIXA           ;PRETA                                   
39965;;;;;1;0;0;0;0;0;1;0;0;0;SANDALIA BAIXA NOBUCK 22022303 VIA FASHI;CALCADOS                 ;SANDALIA BAIXA           ;CAMEL                                   
40037;;;;;1;0;0;0;0;1;0;0;0;0;SAPATILHA NAPA 3585791 PISAMARE         ;CALCADOS                 ;SAPATILHA                ;AMBAR                                   
40045;;;;;1;0;0;0;0;1;0;0;0;0;RASTEIRA TRASEIRO DIANA PVC STRASS I102 ;CALCADOS                 ;RASTEIRA TRASEIRO        ;PRETA                                   
40045;;;;;11;1;0;2;2;3;0;1;2;0;RASTEIRA TRASEIRO DIANA PVC STRASS I102 ;CALCADOS                 ;RASTEIRA TRASEIRO        ;MARFIM                                  
40045;;;;;4;1;0;1;0;1;1;0;0;0;RASTEIRA TRASEIRO DIANA PVC STRASS I102 ;CALCADOS                 ;RASTEIRA TRASEIRO        ;DOURADO                                 
40066;;;;;2;2;0;0;0;0;0;0;0;0;BOLSA SINT G FLOATER SDP310 SEMAX       ;BOLSAS                   ;BOLSA SINT G             ;CAMEL                                   
40069;;;;;1;1;0;0;0;0;0;0;0;0;BOLSA SINT G MAMUTE SDP313 SEMAX        ;BOLSAS                   ;BOLSA SINT G             ;CAMEL                                   
40082;;;;;5;0;0;1;2;0;1;1;0;0;SANDALIA ALTA NAPA 644011 DOLCCINI      ;CALCADOS                 ;SANDALIA ALTA            ;ROSADO                                  
40082;;;;;1;0;0;1;0;0;0;0;0;0;SANDALIA ALTA NAPA 644011 DOLCCINI      ;CALCADOS                 ;SANDALIA ALTA            ;AMENDOA                                 
40106;;;;;1;0;0;0;1;0;0;0;0;0;SCARPIN PAULA NAPA 3415721 BEBECE       ;CALCADOS                 ;SCARPIN                  ;PRETA                                   
